,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
1,24419290000,36.51,16,1.83,28.61,655,295,31.8,11,22,0,0
2,24419240000,12.78,14,2.02,11.54,307,93,25.5,6,12,1.26,100
3,24419300000,38.65,44,2.19,34.1,1184,802,38.9,17,44,3.35,99.97
4,24419010000,22.04,17,2.51,19.25,289,122,41.7,7,11,0.12,100
5,24419250000,29.21,15,2.63,17.59,271,82,34.8,5,14,0.53,100
6,24419190000,30.56,18,2.28,23.67,644,241,46.3,11,17,0.08,100
7,24419280000,39.02,23,2.59,31.27,1201,742,30.5,25,52,0.12,100
8,24419080000,28.72,28,2.05,22.14,925,434,33.9,15,40,0.03,100
9,24419180000,45.88,21,2.35,38.96,698,348,38.3,14,20,0,0
10,24419130000,37.58,22,1.82,29.3,590,254,40.4,9,16,0,0
11,24419140000,22.29,25,1.8,17.14,723,240,42.7,10,17,0.17,100
12,24419120000,20.14,32,1.69,16.58,796,332,29.9,11,26,0,0
13,24419210000,53.91,22,2.17,48.85,805,328,46.2,11,16,0.12,100
14,24419020000,5.54,5,2.04,7.57,172,44,13.3,6,14,0.04,100
15,24419100000,23.01,16,2.35,19.85,354,115,45.4,7,19,0.24,100
16,24419220000,43.93,14,1.92,28.31,355,102,43.1,5,12,0.13,100
17,24419160000,40.93,18,1.58,30.47,580,165,47.6,8,14,0,0
18,24419230000,16.08,18,1.79,14.66,454,147,26.1,6,10,0.72,100
19,24419090000,34.87,14,1.85,29.4,467,137,46.8,7,11,0.12,100
20,24419070000,2.51,7,2.81,3.49,118,44,9.7,6,7,2.33,100
21,24419170000,6.21,17,1.51,8.1,552,212,24.9,10,14,0,0
22,24419260000,46.34,23,1.76,23.16,377,92,34.5,6,10,0,0
23,24419050000,8.35,19,2.02,9.74,469,189,35.9,8,16,0,0
24,24419320000,16.19,10,1.69,13.19,244,85,21.4,6,14,0.01,100
25,24419270000,11.99,13,1.89,12,384,164,20.8,7,13,1.1,100
26,24419310000,31.24,23,1.85,23.7,785,375,32.7,15,32,0.03,100
27,24419330000,9.31,23,1.56,11.22,876,433,30.7,13,38,0.74,100
28,24419200000,4.1,11,2.38,5.65,144,93,14.2,6,9,0,0
29,24419060000,3.59,11,1.76,5.11,344,135,24.1,7,13,0.13,100
30,24419110000,17.93,24,1.78,11.63,952,402,27.7,16,33,0.02,100
31,24419040000,18.12,9,2.04,13.76,235,83,25.8,8,11,0,0
32,24419030000,11.26,9,2.65,14.03,298,84,25.2,8,12,0.06,100
33,24419150000,18.86,20,2.05,15.95,535,178,45.1,9,15,0.74,100
34,24420360003,49.53,11,2.13,28.51,821,187,28.8,13,39,0,0
35,24420100005,8.48,18,1.48,8.69,509,145,22.4,7,11,0,0
36,24420020006,43.47,23,1.19,26.64,921,192,21.6,10,15,0,0
37,24420240004,24.67,31,1.46,17.48,791,233,24.4,9,13,0,0
38,24420380003,27.08,19,1.59,20.85,1164,311,34.6,15,26,0,0
39,24420010007,10.22,13,1.23,8.86,1021,223,21.1,14,25,0,0
40,24420980005,58.05,26,1.6,34.53,1027,295,26.4,12,33,0,0
41,24420370003,47.58,14,1.72,31.66,765,166,46.2,11,19,0.06,100
42,24453020500,35.34,16,1.2,31.68,1368,262,-116.2,14,20,5.2,100
43,24453210100,29.15,14,1.78,25.57,745,206,356.8,13,27,2.33,100
44,24453810500,8.75,14,1.89,9.65,566,239,9.8,14,23,2.51,100
45,24453220100,10.75,11,1.91,9.69,429,105,22.3,10,28,13.88,100
46,24406070500,12.62,7,2.84,11.13,500,99,38.2,11,28,50.88,99.87
47,24406070700,15.88,5,3.08,11.27,333,69,22.4,10,50,51.93,98.73
48,24406070400,2.05,5,1.93,4.09,211,48,12.8,7,19,91.16,100
49,24406070100,32.71,11,2.35,11.15,1146,187,31.6,24,35,44.25,99.93
50,24406070100,8.06,9,1.87,8.67,348,100,19.6,8,18,18.79,99.96
51,24406051300,3.08,8,1.88,5.51,658,136,,11,37,97.22,99.98
52,24406051400,34.4,7,2.47,22.06,474,83,31,9,38,95.55,100
53,24406050300,26.21,14,2.18,19,1119,225,40,16,101,94.2,100
54,24406050500,37.33,35,1.83,23.57,1398,336,46,15,115,88.8,100
